# View: fund_nav
# Question: How has its price moved since the first one on record?
# As of: 2026-09-26
# Data as of: 25 Sep 2026 (1 days old)
# Coverage: — of portfolio value | Unresolved: — | Confidence: high
# Source modules: m0
# Generated: 2026-09-26T10:36:46.912083+00:00
date,nav
2020-11-04,10.02070
2020-11-06,10.02400
2020-11-10,10.02780
2020-11-17,10.03930
2020-11-20,10.04140
2020-11-25,10.05540
2020-11-26,10.05960
2020-12-03,10.05530
2020-12-07,10.08150
2020-12-11,10.08800
2020-12-16,10.09420
2020-12-17,10.09350
2020-12-23,10.14190
2020-12-30,10.15610
2021-01-01,10.17280
2021-01-05,10.19160
2021-01-08,10.19730
2021-01-14,10.19860
2021-01-19,10.20430
2021-01-22,10.20250
2021-01-28,10.21460
2021-02-02,10.19810
2021-02-03,10.20260
2021-02-10,10.19920
2021-02-11,10.19910
2021-02-16,10.20720
2021-02-23,10.20630
2021-02-26,10.20230
2021-03-02,10.20990
2021-03-05,10.20090
2021-03-10,10.20700
2021-03-15,10.16690
2021-03-18,10.17720
2021-03-24,10.20060
2021-03-25,10.20970
2021-03-31,10.20750
2021-04-08,10.22060
2021-04-12,10.21340
2021-04-20,10.23170
2021-04-26,10.22990
2021-04-28,10.23800
2021-05-03,10.24620
2021-05-07,10.24880
2021-05-11,10.25860
2021-05-14,10.26160
2021-05-21,10.27740
2021-05-24,10.27170
2021-06-01,10.27580
2021-06-02,10.27500
2021-06-08,10.30230
2021-06-11,10.31070
2021-06-16,10.29830
2021-06-18,10.30640
2021-06-23,10.30820
2021-06-25,10.31430
2021-06-30,10.31430
2021-07-06,10.31810
2021-07-08,10.32740
2021-07-13,10.33450
2021-07-19,10.35060
2021-07-23,10.35560
2021-07-26,10.35750
2021-07-29,10.37290
2021-08-03,10.37970
2021-08-09,10.39290
2021-08-12,10.39340
2021-08-17,10.41170
2021-08-23,10.42560
2021-08-26,10.42380
2021-09-01,10.44930
2021-09-06,10.45530
2021-09-08,10.45490
2021-09-14,10.45880
2021-09-20,10.47030
2021-09-22,10.47340
2021-09-24,10.47090
2021-09-29,10.48290
2021-10-01,10.48840
2021-10-07,10.49400
2021-10-12,10.51580
2021-10-14,10.50370
2021-10-21,10.51340
2021-10-27,10.51190
2021-11-01,10.49810
2021-11-03,10.49210
2021-11-09,10.50760
2021-11-12,10.50610
2021-11-22,10.52090
2021-11-25,10.52200
2021-11-26,10.52430
2021-12-01,10.51870
2021-12-03,10.51930
2021-12-08,10.52970
2021-12-13,10.53280
2021-12-17,10.53590
2021-12-22,10.52710
2021-12-24,10.52660
2021-12-31,10.53980
2022-01-03,10.54580
2022-01-06,10.54600
2022-01-10,10.55180
2022-01-13,10.55520
2022-01-19,10.56300
2022-01-24,10.57240
2022-01-31,10.57940
2022-02-02,10.57180
2022-02-04,10.57370
2022-02-10,10.59400
2022-02-14,10.60250
2022-02-17,10.60560
2022-02-24,10.60610
2022-03-02,10.60030
2022-03-04,10.60460
2022-03-10,10.60840
2022-03-11,10.60850
2022-03-17,10.62090
2022-03-21,10.62890
2022-03-25,10.64110
2022-03-29,10.64370
2022-04-05,10.65690
2022-04-08,10.63850
2022-04-13,10.62970
2022-04-20,10.65110
2022-04-25,10.66320
2022-04-28,10.66960
2022-05-02,10.67470
2022-05-05,10.62100
2022-05-12,10.62970
2022-05-13,10.62410
2022-05-23,10.64580
2022-05-25,10.65190
2022-05-30,10.65780
2022-06-01,10.65810
2022-06-07,10.64880
2022-06-08,10.66040
2022-06-15,10.65750
2022-06-17,10.66160
2022-06-22,10.68230
2022-06-24,10.68440
2022-06-30,10.69640
2022-07-01,10.70650
2022-07-06,10.73820
2022-07-11,10.74090
2022-07-18,10.75520
2022-07-21,10.75350
2022-07-25,10.76380
2022-07-27,10.75970
2022-08-02,10.78880
2022-08-05,10.78000
2022-08-10,10.79510
2022-08-17,10.81470
2022-08-23,10.82030
2022-08-24,10.81440
2022-09-01,10.83170
2022-09-05,10.83280
2022-09-09,10.84030
2022-09-13,10.84580
2022-09-16,10.83640
2022-09-19,10.83970
2022-09-23,10.82150
2022-09-28,10.82000
2022-10-04,10.84270
2022-10-06,10.84400
2022-10-12,10.83500
2022-10-14,10.83640
2022-10-18,10.85050
2022-10-21,10.85350
2022-10-31,10.87810
2022-11-04,10.88780
2022-11-09,10.90050
2022-11-15,10.92030
2022-11-18,10.92900
2022-11-21,10.93440
2022-11-25,10.94430
2022-11-28,10.95250
2022-12-05,10.96920
2022-12-07,10.97180
2022-12-09,10.97580
2022-12-14,10.98910
2022-12-19,10.99720
2022-12-23,11.00340
2022-12-26,11.00870
2022-12-29,11.01400
2023-01-03,11.02550
2023-01-06,11.03100
2023-01-13,11.04570
2023-01-17,11.05360
2023-01-20,11.05590
2023-01-24,11.06250
2023-01-31,11.07290
2023-02-01,11.07930
2023-02-06,11.08920
2023-02-13,11.09990
2023-02-15,11.09680
2023-02-21,11.10840
2023-02-24,11.11000
2023-02-28,11.11820
2023-03-02,11.11960
2023-03-09,11.13180
2023-03-13,11.14720
2023-03-17,11.15300
2023-03-23,11.17050
2023-03-28,11.17800
2023-03-29,11.18390
2023-04-10,11.22770
2023-04-11,11.22850
2023-04-17,11.24510
2023-04-21,11.25600
2023-04-24,11.26320
2023-04-28,11.27340
2023-05-08,11.29600
2023-05-11,11.29910
2023-05-16,11.31300
2023-05-18,11.31910
2023-05-22,11.33380
2023-05-25,11.33770
2023-05-31,11.34750
2023-06-02,11.35410
2023-06-07,11.36810
2023-06-09,11.36920
2023-06-16,11.38540
2023-06-19,11.39230
2023-06-23,11.39810
2023-06-28,11.40890
2023-07-03,11.42150
2023-07-07,11.43120
2023-07-10,11.43710
2023-07-17,11.45690
2023-07-20,11.46390
2023-07-21,11.46630
2023-07-26,11.48300
2023-07-31,11.49550
2023-08-04,11.50650
2023-08-07,11.51350
2023-08-11,11.52750
2023-08-21,11.57080
2023-08-22,11.57280
2023-08-28,11.59320
2023-08-31,11.59800
2023-09-04,11.60850
2023-09-08,11.61870
2023-09-12,11.62480
2023-09-14,11.67720
2023-09-21,11.68600
2023-09-27,11.68570
2023-10-03,11.69820
2023-10-05,11.70230
2023-10-10,11.67540
2023-10-12,11.68190
2023-10-19,11.71340
2023-10-25,11.73020
2023-10-30,11.73650
2023-10-31,11.74050
2023-11-03,11.73710
2023-11-09,11.74450
2023-11-13,11.75630
2023-11-20,11.79010
2023-11-21,11.78620
2023-11-24,11.79040
2023-11-30,11.80620
2023-12-05,11.81490
2023-12-11,11.83570
2023-12-14,11.83130
2023-12-18,11.84080
2023-12-21,11.84060
2023-12-27,11.86310
2024-01-01,11.87900
2024-01-05,11.88580
2024-01-09,11.89920
2024-01-11,11.90240
2024-01-17,11.92250
2024-01-19,11.92220
2024-01-29,11.94440
2024-01-30,11.94280
2024-02-05,11.95580
2024-02-08,11.97570
2024-02-14,11.98070
2024-02-16,11.98570
2024-02-21,12.00160
2024-02-23,12.00330
2024-02-28,12.02070
2024-03-06,12.04090
2024-03-12,12.06870
2024-03-14,12.08210
2024-03-19,12.08120
2024-03-22,12.09790
2024-03-28,12.13320
2024-04-02,12.13190
2024-04-04,12.14980
2024-04-10,12.16420
2024-04-19,12.16280
2024-04-23,12.18220
2024-04-29,12.20130
2024-05-03,12.20540
2024-05-06,12.21790
2024-05-08,12.22080
2024-05-15,12.24600
2024-05-17,12.25260
2024-05-27,12.28940
2024-05-30,12.29460
2024-06-03,12.31030
2024-06-06,12.30800
2024-06-10,12.32060
2024-06-14,12.33620
2024-06-18,12.34880
2024-06-24,12.36280
2024-06-26,12.36550
2024-06-30,12.37860
2024-07-05,12.39480
2024-07-08,12.40320
2024-07-12,12.41810
2024-07-16,12.43260
2024-07-23,12.44830
2024-07-25,12.45640
2024-07-29,12.48770
2024-08-05,12.50750
2024-08-06,12.50270
2024-08-09,12.51090
2024-08-16,12.53450
2024-08-21,12.55660
2024-08-23,12.56910
2024-08-29,12.57620
2024-08-30,12.57510
2024-09-05,12.59120
2024-09-06,12.59810
2024-09-13,12.61990
2024-09-16,12.63020
2024-09-20,12.64160
2024-09-26,12.66060
2024-09-27,12.65720
2024-10-07,12.67440
2024-10-09,12.69590
2024-10-14,12.70870
2024-10-18,12.70920
2024-10-23,12.72460
2024-10-25,12.72150
2024-10-29,12.72550
2024-11-04,12.75180
2024-11-06,12.75170
2024-11-11,12.76930
2024-11-18,12.78770
2024-11-22,12.78540
2024-11-28,12.80320
2024-11-29,12.81480
2024-12-04,12.82810
2024-12-06,12.82970
2024-12-12,12.82080
2024-12-13,12.82080
2024-12-18,12.84540
2024-12-26,12.84910
2024-12-30,12.86480
2025-01-02,12.87160
2025-01-06,12.88640
2025-01-09,12.89780
2025-01-15,12.89960
2025-01-16,12.91370
2025-01-21,12.92610
2025-01-24,12.93020
2025-01-31,12.94440
2025-02-03,12.95310
2025-02-06,12.96830
2025-02-11,12.98870
2025-02-14,12.99420
2025-02-20,13.00770
2025-02-24,13.02300
2025-03-03,13.04040
2025-03-05,13.04370
2025-03-12,13.07030
2025-03-13,13.06820
2025-03-19,13.09080
2025-03-24,13.11040
2025-03-27,13.12240
2025-04-02,13.16190
2025-04-08,13.19720
2025-04-15,13.24520
2025-04-16,13.26110
2025-04-23,13.28080
2025-04-28,13.27030
2025-05-02,13.28370
2025-05-07,13.30650
2025-05-09,13.30450
2025-05-14,13.34330
2025-05-21,13.39000
2025-05-22,13.38580
2025-05-27,13.40130
2025-05-30,13.40070
2025-06-04,13.40900
2025-06-06,13.42840
2025-06-11,13.42180
2025-06-13,13.42290
2025-06-18,13.44320
2025-06-24,13.46040
2025-06-27,13.45630
2025-07-01,13.47400
2025-07-07,13.49610
2025-07-09,13.49170
2025-07-11,13.49510
2025-07-18,13.51580
2025-07-21,13.52590
2025-07-28,13.53620
2025-07-30,13.53540
2025-08-04,13.55140
2025-08-07,13.55760
2025-08-12,13.55460
2025-08-14,13.56800
2025-08-21,13.57140
2025-08-26,13.56210
2025-08-28,13.57630
2025-09-03,13.57010
2025-09-04,13.59040
2025-09-11,13.60360
2025-09-12,13.57950
2025-09-17,13.59600
2025-09-24,13.60970
2025-09-26,13.61470
2025-10-01,13.66630
2025-10-07,13.68350
2025-10-10,13.68810
2025-10-15,13.66230
2025-10-20,13.67080
2025-10-27,13.67120
2025-10-30,13.67280
2025-11-06,13.71930
2025-11-10,13.72900
2025-11-12,13.72000
2025-11-18,13.73840
2025-11-21,13.73390
2025-11-25,13.76240
2025-11-28,13.74090
2025-12-01,13.74190
2025-12-05,13.78100
2025-12-10,13.74800
2025-12-12,13.75810
2025-12-18,13.75660
2025-12-23,13.73320
2025-12-24,13.77770
2026-01-01,13.78890
2026-01-05,13.77860
2026-01-07,13.79080
2026-01-12,13.80190
2026-01-16,13.77490
2026-01-22,13.80740
2026-01-23,13.82060
2026-01-30,13.85680
2026-02-02,13.85910
2026-02-06,13.86850
2026-02-12,13.90160
2026-02-13,13.89620
2026-02-20,13.91580
2026-02-24,13.94240
2026-02-27,13.95070
2026-03-05,13.98680
2026-03-09,14.05860
2026-03-13,14.06940
2026-03-16,14.07860
2026-03-24,14.00430
2026-03-30,14.03200
2026-04-02,14.03090
2026-04-08,14.01000
2026-04-13,14.00940
2026-04-16,14.03850
2026-04-21,14.04340
2026-04-24,14.07900
2026-04-29,14.08170
2026-05-05,14.12610
2026-05-07,14.10730
2026-05-13,14.10810
2026-05-14,14.11920
2026-05-20,14.13200
2026-05-22,14.11650
2026-05-27,14.09550
2026-06-03,14.11470
2026-06-08,14.21730
2026-06-11,14.24780
2026-06-15,14.22560
2026-06-16,14.25050
2026-06-23,14.25230
2026-06-29,14.28930
2026-06-30,14.28480
2026-07-03,14.31860
2026-07-08,14.31260
2026-07-15,14.37750
2026-07-17,14.38300
2026-07-20,14.41270
2026-07-27,14.42800
2026-07-28,14.42080
2026-07-31,14.42720
2026-08-05,14.43930
2026-08-10,14.46500
2026-08-17,14.47660
2026-08-18,14.46510
2026-08-21,14.44970
2026-08-25,14.46780
2026-09-01,14.46620
2026-09-07,14.49450
2026-09-09,14.50350
2026-09-15,14.47750
2026-09-17,14.48800
2026-09-22,14.49390
2026-09-25,14.4777
